case_id,reason
BraTS-GLI-00008-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00009-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00017-001,"missing required segmentation label(s) after standardization: 1,4"
BraTS-GLI-00033-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00048-001,"missing required segmentation label(s) after standardization: 1,4"
BraTS-GLI-00084-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00170-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00171-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00218-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00243-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00270-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00380-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00412-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00485-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00485-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00540-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00540-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00602-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00612-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00613-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00621-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00668-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00675-001,"missing required segmentation label(s) after standardization: 1,4"
BraTS-GLI-00684-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00731-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00731-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00732-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00733-001,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00735-000,missing required segmentation label(s) after standardization: 1
BraTS-GLI-00735-001,"missing required segmentation label(s) after standardization: 1,4"
